AREA,PERIMETER,UNIQUEID,SCHEDULERE,SURVEYORCO,WATERSEDGE,ZONETYPE,ZONESUBTYP,CLAUSE,SURVEYDATE,FTYPE_CODE,WATERWAY_I,SCHEDULE_T,DISPLAY_HE,DISPLAY_TE,CONDITIONA,CONDITIO_1,CREATION_T,DISPLAY_RE,DISPLAY_IC,ZONEID,SURVEYORNA,Shape_Leng,Shape_Area,longitude,latitude
1.97E-06,0.006145756,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.a (>67.500),Tad Knaggs,0.006145756,1.97E-06,143.648999,-35.432988
1.96E-06,0.006014905,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.b (>67.500),Tad Knaggs,0.006014904,1.96E-06,143.655094,-35.435687
2.33E-06,0.006747697,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,4/1/2012,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.c (>67.500),Tad Knaggs,0.006747696,2.33E-06,143.638547,-35.464107
1.70E-06,0.005331949,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,23/12/2011,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.d (>67.500),Tad Knaggs,0.00533195,1.70E-06,143.630014,-35.453967
3.61E-06,0.008793134,Boga Lake,74,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/1/2012,,7,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 074, Clause 5",SkiingPermitted.png,074-1.e (>67.500),Tad Knaggs,0.008793134,3.61E-06,143.628518,-35.446054
1.24E-06,0.005634724,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.a,Tad Knaggs,0.005634723,1.24E-06,142.842771,-37.745255
2.02E-06,0.008380623,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.d,Tad Knaggs,0.008380624,2.02E-06,142.843468,-37.720917
3.45E-06,0.013824267,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.b,Tad Knaggs,0.013824267,3.45E-06,142.86402,-37.747235
1.32E-06,0.005343208,Bolac Lake,40,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/06/2011,,77,,Access Lane - Water Skiing,,0,,,"Refer to Schedule 040, Clause 5",SkiingPermitted.png,040-1.c,Tad Knaggs,0.005343208,1.32E-06,142.878115,-37.721622
7.74E-08,0.001258711,Bridgewater Lakes,134,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/11/2011,,9,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 134, Clause 5",SkiingPermitted.png,134-2.a,Tad Knaggs,0.001258711,7.74E-08,141.404813,-38.319262
6.89E-08,0.001074874,Bridgewater Lakes,134,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/11/2011,,9,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 134, Clause 5",SkiingPermitted.png,134-2.b,Tad Knaggs,0.001074872,6.89E-08,141.399393,-38.30572
9.87E-07,0.00467149,Buffalo Lake,96,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/07/2011,,10,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 096, Clause 5",SkiingPermitted.png,096-1.a,Tad Knaggs,0.00467149,9.87E-07,146.663335,-36.719882
6.16E-07,0.003354987,Buffalo Lake,96,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,29/07/2011,,10,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 096, Clause 5",SkiingPermitted.png,096-1.b,Tad Knaggs,0.003354987,6.16E-07,146.656656,-36.725742
3.81E-07,0.002601924,Bullen Merri Lake,116,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,26/05/2011,,11,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 116, Clause 5",SkiingPermitted.png,116-3,Tad Knaggs,0.002601925,3.81E-07,143.094391,-38.259694
1.98E-06,0.006179598,Burrumbeet Lake,43,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,16/03/2012,,12,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.a,Tad Knaggs,0.006179598,1.98E-06,143.650845,-37.531023
1.48E-06,0.00507895,Burrumbeet Lake,43,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,8/3/2012,,12,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.b,Tad Knaggs,0.00507895,1.48E-06,143.640375,-37.532463
7.27E-06,0.018650633,Burrumbeet Lake,43,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,16/03/2012,,12,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 043, Clause 5",SkiingPermitted.png,043-2.c,Tad Knaggs,0.018650633,7.27E-06,143.632644,-37.531737
5.67E-07,0.00390817,Curdies River,24,Geomatic Technologies,VicMap Modified,No Wash,Not Applicable,11,29/05/2009,,17,,No Wash,,0,,AUTO,"Refer to Schedule 024, Clause 11",NA.png,024-3,Brad Griffiths,0.00390817,5.67E-07,142.834625,-38.518788
5.39E-07,0.004473797,Green Hill Lake,54,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,1/12/2011,,25,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 054, Clause 5",SkiingPermitted.png,054-1,Tad Knaggs,0.004473798,5.39E-07,142.977022,-37.295781
7.38E-07,0.003808684,Gunbower Creek,73,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,16/12/2011,,26,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 073, Clause 5",SkiingPermitted.png,073-2,Tad Knaggs,0.003808684,7.38E-07,144.252108,-35.807029
2.01E-07,0.001947121,Hamilton Lake,38,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/5/2012,,27,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.a,Tad Knaggs,0.001947121,2.01E-07,142.039779,-37.733434
1.47E-07,0.001584818,Hamilton Lake,38,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,3/5/2012,,27,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 038, Clause 5",SkiingPermitted.png,038-4.b,Tad Knaggs,0.001584818,1.47E-07,142.037475,-37.73477
2.95E-07,0.002271165,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.a,Tad Knaggs,0.002271164,2.95E-07,143.76792,-35.554551
3.76E-07,0.002568838,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.b,Tad Knaggs,0.002568837,3.76E-07,143.767371,-35.554613
7.22E-07,0.003853655,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.c,Tad Knaggs,0.003853656,7.22E-07,143.766477,-35.590244
2.66E-07,0.002085228,Kangaroo Lake,140,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,30,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 140, Clause 5",SkiingPermitted.png,140-1.d,Tad Knaggs,0.002085229,2.66E-07,143.766752,-35.594188
2.36E-07,0.002282316,Laanecoorie,65,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,25/07/2011,,32,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 065, Clause 5",SkiingPermitted.png,065-1 (>31.5%),Tad Knaggs,0.002282316,2.36E-07,143.887268,-36.835573
2.47E-07,0.002003861,Lake Charm,139,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.a,Tad Knaggs,0.002003861,2.47E-07,143.813909,-35.601544
2.47E-07,0.002015775,Lake Charm,139,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.b,Tad Knaggs,0.002015775,2.47E-07,143.812669,-35.609199
3.68E-07,0.002442933,Lake Charm,139,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/07/2011,,34,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 139, Clause 5",SkiingPermitted.png,139-1.c,Tad Knaggs,0.002442933,3.68E-07,143.813681,-35.607716
1.75E-05,0.022491101,Lake Eildon,90,Geomatic Technologies,VicMap Modified,No Wash,Not Applicable,11,4/5/2009,,37,,No Wash,,0,,AUTO,"Refer to Schedule 090, Clause 11",NA.png,090-4.c,Brad Griffiths,0.022491102,1.75E-05,145.923243,-37.218464
6.25E-06,0.010499167,Lake Hume,95,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,12/5/2008,,41,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 095, Clause 5",SkiingPermitted.png,095-1_(>10%),Jamie Portman,0.010499165,6.25E-06,147.05109,-36.090146
2.11E-06,0.007936205,Learmonth Lake,64,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,27/02/2012,,46,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.a,Tad Knaggs,0.007936205,2.11E-06,143.705592,-37.421925
3.39E-06,0.010562011,Learmonth Lake,64,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/05/2012,,46,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.b,Tad Knaggs,0.01056201,3.39E-06,143.723396,-37.431187
1.75E-06,0.006571718,Learmonth Lake,64,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,27/02/2012,,46,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 064, Clause 5",SkiingPermitted.png,064-1.c,Tad Knaggs,0.006571718,1.75E-06,143.695922,-37.444936
1.64E-06,0.007019787,Rocklands Reservoir,44,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,10/5/2012,,61,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 044, Clause 5",SkiingPermitted.png,044-1.a,Tad Knaggs,0.007019786,1.64E-06,141.965157,-37.230951
1.19E-06,0.005431199,Rocklands Reservoir,44,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,10/5/2012,,61,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 044, Clause 5",SkiingPermitted.png,044-1.b,Tad Knaggs,0.005431198,1.19E-06,141.97293,-37.231983
7.21E-06,0.0113527,Waranga Basin,85,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.a (>114.38),Tad Knaggs,0.011352701,7.21E-06,145.042101,-36.55447
2.30E-06,0.006434131,Waranga Basin,85,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.b (>114.38),Tad Knaggs,0.006434132,2.30E-06,145.075117,-36.578854
5.27E-06,0.00958483,Waranga Basin,85,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.c (>114.38),Tad Knaggs,0.00958483,5.27E-06,145.082143,-36.527168
1.86E-05,0.022587574,Waranga Basin,85,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.d (>114.38),Tad Knaggs,0.022587575,1.86E-05,145.077737,-36.578328
3.39E-06,0.007504553,Waranga Basin,85,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,21/11/2011,,71,,Access Lane - Water Skiing,,1,,AUTO,"Refer to Schedule 085, Clause 5",SkiingPermitted.png,085-1.e (>114.38),Tad Knaggs,0.007504553,3.39E-06,145.110673,-36.574668
1.41E-06,0.004912984,Western Port,5,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,16/04/2008,,72,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 005, Clause 5",SkiingPermitted.png,005-2.a,Jamie Portman,0.004912982,1.41E-06,145.257246,-38.449502
1.01E-06,0.00469644,Western Port,5,Geomatic Technologies,VicMap Modified,Access Lane - Water Skiing,Not Applicable,5,16/04/2008,,72,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 005, Clause 5",SkiingPermitted.png,005-2.b,Jamie Portman,0.004696439,1.01E-06,145.195622,-38.455349
4.32E-05,0.160367223,Wimmera River Horsham,69,Geomatic Technologies,VicMap Modified,No Wash,Not Applicable,11,14/12/2009,,73,,No Wash,,0,,AUTO,"Refer to Schedule 069, Clause 11",NA.png,069-3,Jamie Portman,0.160367221,4.32E-05,142.222528,-36.708287
2.12E-06,0.006039084,Port Phillip,1,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,17/10/2014,,78,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 001, Clause 5",SkiingPermitted.png,001-2.5.a,Tad Knaggs,0.006039083,2.12E-06,145.052823,-37.987022
5.58E-06,0.011912942,Port Phillip,1,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,31/01/2014,,78,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 001, Clause 5",SkiingPermitted.png,001-3.5.a,Tad Knaggs,0.011912942,5.58E-06,144.943582,-38.339307
3.21E-06,0.007198318,Port Phillip,1,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,19/04/2012,,78,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 001, Clause 5",SkiingPermitted.png,001-2.l,Tad Knaggs,0.007198317,3.21E-06,144.703343,-38.127543
3.13E-06,0.007314948,Port Phillip,1,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,19/04/2012,,78,,Access Lane - Water Skiing,,0,,AUTO,"Refer to Schedule 001, Clause 5",SkiingPermitted.png,001-2.m,Tad Knaggs,0.007314948,3.13E-06,144.717844,-38.161521
9.70E-07,0.004252485,Pykes Creek Reservoir,41,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,9/11/2011,,60,,Access Lane - Water Skiing,,1,,,"Refer to Schedule 041, Clause 5",SkiingPermitted.png,041-1.a (>30%),Tad Knaggs,0.004252485,9.70E-07,144.30287,-37.605075
3.74E-07,0.00249957,Pykes Creek Reservoir,41,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,9/11/2011,,60,,Access Lane - Water Skiing,,1,,,"Refer to Schedule 041, Clause 5",SkiingPermitted.png,041-1.b (>30%),Tad Knaggs,0.00249957,3.74E-07,144.303545,-37.603861
2.02E-06,0.007791144,Cairn Curran,52,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,13,,Access Lane - Water Skiing,,1,,,"Refer to Schedule 052, Clause 5",SkiingPermitted.png,052-1.b (>27%),Tad Knaggs,0.007791143,2.02E-06,143.972645,-37.005073
7.64E-07,0.003663995,Cairn Curran,52,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,13,,Access Lane - Water Skiing,,1,,,"Refer to Schedule 052, Clause 5",SkiingPermitted.png,052-1.c (>27%),Tad Knaggs,0.003663995,7.64E-07,144.018745,-37.071478
9.57E-07,0.004284148,Cairn Curran,52,Geomatic Technologies,VicMap,Access Lane - Water Skiing,Not Applicable,5,11/7/2011,,13,,Access Lane - Water Skiing,,1,,,"Refer to Schedule 052, Clause 5",SkiingPermitted.png,052-1.a (>27%),Tad Knaggs,0.004284148,9.57E-07,143.978546,-36.998426
0,0,Aire River,118,Geomatic Technologies,VicMap Modified,Speed Restriction,8 Knots,7,2/7/2009,,1,,Speed Restriction (8 Knots),,0,,AUTO,"Refer to Schedule 118, Clause 7",8.jpg,118-1,Jamie Portman,0.158801913,3.50E-05,143.472374,-38.779598
0,0,AndersonInlet,114,Geomatic Technologies,VicMap Modified,Speed Restriction,5 Knots,7,29/01/2010,,3,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 114, Clause 7",5.jpg,114-2.a,Jamie Portman,0.063562673,2.61E-05,145.740216,-38.636127
0,0,AndersonInlet,114,Geomatic Technologies,VicMap Modified,Speed Restriction,5 Knots,7,29/01/2010,,3,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 114, Clause 7",5.jpg,114-2.b,Jamie Portman,0.061269621,1.47E-05,145.754751,-38.635509
0,0,AndersonInlet,114,Geomatic Technologies,VicMap Modified,Speed Restriction,10 Knots,7,29/01/2010,,3,,Speed Restriction (10 Knots),,0,,AUTO,"Refer to Schedule 114, Clause 7",10.jpg,114-3,Jamie Portman,0.504862855,0.002199012,145.750637,-38.648403
0,0,Anglesea River,13,Geomatic Technologies,VicMap Modified,Speed Restriction,5 Knots,7,11/5/2009,,4,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 013, Clause 7",5.jpg,013-1,Jamie Portman,0.066474268,7.47E-06,144.184229,-38.396609
0,0,Barwon River,7,Geomatic Technologies,VicMap Modified,Speed Restriction,35 Knots,7,18/02/2009,,5,,Speed Restriction (35 Knots),,0,,AUTO,"Refer to Schedule 007, Clause 7",35.jpg,007-3,Brad Griffiths,0.000918375,1.20E-10,144.293907,-38.154829
0,0,Barwon River Lake Connewarre,131,Geomatic Technologies,VicMap Modified,Speed Restriction,5 Knots,7,23/11/2009,,8,,Speed Restriction (5 Knots),,0,,,"Refer to Schedule 131, Clause 7",5.jpg,131-1,Jamie Portman,0.746463354,0.002432387,144.49089,-38.261292
0,0,Bass Strait,11,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,12/5/2009,,6,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 011, Clause 7",5.jpg,011-1,Brad Griffiths,0.086954537,7.62E-05,144.330519,-38.327899
0,0,Boga Lake,74,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,5/1/2012,,7,,Speed Restriction (5 Knots),,1,,AUTO,"Refer to Schedule 074, Clause 7",5.jpg,074-2 (>67.500),Tad Knaggs,0.187704973,8.30E-05,143.636262,-35.462904
0,0,Bolac Lake,40,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,17/06/2011,,77,,Speed Restriction (5 Knots),,0,,,"Refer to Schedule 040, Clause 7",5.jpg,040-2.b,Tad Knaggs,0.063572515,0.000208418,142.873631,-37.712613
0,0,Bolac Lake,40,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,17/06/2011,,77,,Speed Restriction (5 Knots),,0,,,"Refer to Schedule 040, Clause 7",5.jpg,040-2.a,Tad Knaggs,0.230237154,6.73E-05,142.851865,-37.747276
0,0,Bridgewater Lakes,134,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,29/11/2011,,9,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 134, Clause 7",5.jpg,134-3,Tad Knaggs,0.008463659,2.18E-06,141.405236,-38.318791
0,0,Buffalo Lake,96,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,29/07/2011,,10,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 096, Clause 7",5.jpg,096-2.a,Tad Knaggs,0.150993858,4.27E-05,146.656418,-36.737373
0,0,Buffalo Lake,96,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,29/07/2011,,10,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 096, Clause 7",5.jpg,096-2.b,Tad Knaggs,0.043848061,2.96E-05,146.664521,-36.729097
0,0,Buffalo Lake,96,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,29/07/2011,,10,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 096, Clause 7",5.jpg,096-2.c,Tad Knaggs,0.013355107,7.38E-06,146.655623,-36.728007
0,0,Buffalo Lake,96,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,29/07/2011,,10,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 096, Clause 7",5.jpg,096-2.d,Tad Knaggs,0.079028289,7.05E-05,146.65642,-36.737393
0,0,Burrumbeet Lake,43,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,8/3/2012,,12,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 043, Clause 7",5.jpg,043-3.a,Tad Knaggs,0.071610137,7.11E-05,143.665261,-37.524476
0,0,Burrumbeet Lake,43,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,8/3/2012,,12,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 043, Clause 7",5.jpg,043-3.b,Tad Knaggs,0.017413936,1.75E-05,143.666332,-37.495548
0,0,Burrumbeet Lake,43,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,15/03/2012,,12,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 043, Clause 7",5.jpg,043-3.c,Tad Knaggs,0.007515686,2.73E-06,143.668319,-37.491268
0,0,Burrumbeet Lake,43,Geomatic Technologies,VicMap,Speed Restriction,5 Knots,7,15/03/2012,,12,,Speed Restriction (5 Knots),,0,,AUTO,"Refer to Schedule 043, Clause 7",5.jpg,043-3.d,Tad Knaggs,0.00548174,1.31E-06,143.668447,-37.489983
